"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","353","","handling error codes","","checking custom error code: 106 - no_rates_available","","checking custom error code: 106 - no_rates_available",""
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","267","","handling error codes","","checking 404 response code - Not Found: The requested resource doesn't exist.","","checking 404 response code - Not Found: The requested resource doesn't exist.",""
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:12 UTC 2024","349","","handling error codes","","checking custom error code: 202 - invalid_currency_codes","","checking custom error code: 202 - invalid_currency_codes",""
"passed","Thu Mar 14 22:00:12 UTC 2024","Thu Mar 14 22:00:12 UTC 2024","372","","handling error codes","","checking custom error code: 503 - invalid_end_date","","checking custom error code: 503 - invalid_end_date",""
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:12 UTC 2024","349","","rates can be fetched with valid data","","fetching rates for specified currency but empty (default) symbols","","fetching rates for specified currency but empty (default) symbols",""
"passed","Thu Mar 14 22:00:10 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","847","","rates can be fetched with valid data","","fetching rates for specified currency and specified the same symbol","","fetching rates for specified currency and specified the same symbol",""
"passed","Thu Mar 14 22:00:10 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","837","","handling error codes","","checking custom error code: 505 - time_frame_too_long","","checking custom error code: 505 - time_frame_too_long",""
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:12 UTC 2024","340","","handling error codes","","checking custom error code: 201 - invalid_base_currency","","checking custom error code: 201 - invalid_base_currency",""
"passed","Thu Mar 14 22:00:10 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","846","","rates can be fetched with valid data","","fetching rates for specified currency and symbols","","fetching rates for specified currency and symbols",""
"passed","Thu Mar 14 22:00:10 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","642","","handling error codes","","checking 401 response code - Unauthorized: No valid API key provided.","","checking 401 response code - Unauthorized: No valid API key provided.",""
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:12 UTC 2024","359","","rates can be fetched with valid data","","fetching rates for empty (default) currency and empty (default) symbols","","fetching rates for empty (default) currency and empty (default) symbols",""
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","45","","handling error codes","","checking 429 response code - Too many requests: API request limit exceeded","","checking 429 response code - Too many requests: API request limit exceeded",""
"passed","Thu Mar 14 22:00:12 UTC 2024","Thu Mar 14 22:00:12 UTC 2024","322","","handling error codes","","checking custom error code: 502 - invalid_start_date","","checking custom error code: 502 - invalid_start_date",""
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:12 UTC 2024","361","","handling error codes","","checking custom error code: 504 - invalid_time_frame","","checking custom error code: 504 - invalid_time_frame",""
"passed","Thu Mar 14 22:00:10 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","560","","handling error codes","","checking 400 response code: Bad Request","","checking 400 response code: Bad Request",""
"passed","Thu Mar 14 22:00:11 UTC 2024","Thu Mar 14 22:00:11 UTC 2024","69","","handling error codes","","checking 403 response code - Forbidden: You cannot consume this service","","checking 403 response code - Forbidden: You cannot consume this service",""
