"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 13 18:43:31 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","76","","handling error codes","","checking custom error code: 503 - invalid_end_date","","checking custom error code: 503 - invalid_end_date",""
"broken","Wed Mar 13 18:43:31 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","72","","handling error codes","","checking custom error code: 202 - invalid_currency_codes","","checking custom error code: 202 - invalid_currency_codes",""
"broken","Wed Mar 13 18:43:30 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","118","","handling error codes","","checking 404 response code - Not Found: The requested resource doesn't exist.","","checking 404 response code - Not Found: The requested resource doesn't exist.",""
"broken","Wed Mar 13 18:43:30 UTC 2024","Wed Mar 13 18:43:30 UTC 2024","82","","rates can be fetched with valid data","","fetching rates for specified currency but empty (default) symbols","","fetching rates for specified currency but empty (default) symbols",""
"broken","Wed Mar 13 18:43:30 UTC 2024","Wed Mar 13 18:43:30 UTC 2024","109","","rates can be fetched with valid data","","fetching rates for empty (default) currency and empty (default) symbols","","fetching rates for empty (default) currency and empty (default) symbols",""
"broken","Wed Mar 13 18:43:31 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","71","","handling error codes","","checking custom error code: 502 - invalid_start_date","","checking custom error code: 502 - invalid_start_date",""
"failed","Wed Mar 13 18:43:31 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","73","","handling error codes","","checking 429 response code - Too many requests: API request limit exceeded","","checking 429 response code - Too many requests: API request limit exceeded",""
"broken","Wed Mar 13 18:43:31 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","113","","handling error codes","","checking custom error code: 106 - no_rates_available","","checking custom error code: 106 - no_rates_available",""
"failed","Wed Mar 13 18:43:30 UTC 2024","Wed Mar 13 18:43:30 UTC 2024","160","","handling error codes","","checking 403 response code - Forbidden: You cannot consume this service","","checking 403 response code - Forbidden: You cannot consume this service",""
"passed","Wed Mar 13 18:43:30 UTC 2024","Wed Mar 13 18:43:30 UTC 2024","209","","handling error codes","","checking 400 response code: Bad Request","","checking 400 response code: Bad Request",""
"broken","Wed Mar 13 18:43:31 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","66","","handling error codes","","checking custom error code: 505 - time_frame_too_long","","checking custom error code: 505 - time_frame_too_long",""
"broken","Wed Mar 13 18:43:31 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","120","","handling error codes","","checking custom error code: 201 - invalid_base_currency","","checking custom error code: 201 - invalid_base_currency",""
"broken","Wed Mar 13 18:43:23 UTC 2024","Wed Mar 13 18:43:30 UTC 2024","6583","","rates can be fetched with valid data","","fetching rates for specified currency and symbols","","fetching rates for specified currency and symbols",""
"broken","Wed Mar 13 18:43:30 UTC 2024","Wed Mar 13 18:43:30 UTC 2024","72","","rates can be fetched with valid data","","fetching rates for specified currency and specified the same symbol","","fetching rates for specified currency and specified the same symbol",""
"broken","Wed Mar 13 18:43:31 UTC 2024","Wed Mar 13 18:43:31 UTC 2024","79","","handling error codes","","checking custom error code: 504 - invalid_time_frame","","checking custom error code: 504 - invalid_time_frame",""
"passed","Wed Mar 13 18:43:30 UTC 2024","Wed Mar 13 18:43:30 UTC 2024","104","","handling error codes","","checking 401 response code - Unauthorized: No valid API key provided.","","checking 401 response code - Unauthorized: No valid API key provided.",""
